Date,Region,Ip Region,AF Tag,Install,New User,R2,R3,R4,R5,R6,R7,R14,R30,R3 R2,R7 R3,R14 R7,R30 R14,,Date: 2025-02-01 -- 2026-04-08
2025-02-01,ID,ID,facebook ads,0,2,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,0.00%,0.00%,100.00%,100.00%,0.00%,
2025-02-01,ID,ID,googleadwords_int,1,19,42.11%,10.53%,15.79%,10.53%,15.79%,10.53%,10.53%,10.53%,25.00%,100.00%,100.00%,100.00%
2025-02-01,ID,ID,organic,2367,2573,44.27%,26.54%,19.82%,17.88%,14.50%,14.11%,7.03%,4.31%,59.96%,53.15%,49.86%,61.33%
2025-02-01,ID,ID,tiktokglobal_int,0,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
2025-02-01,SAC,AR,googleadwords_int,0,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,,,,0.00%
2025-02-01,SAC,AR,organic,417,447,42.73%,30.43%,23.71%,20.36%,18.12%,15.21%,9.40%,6.94%,71.20%,50.00%,61.76%,73.81%
2025-02-01,SAC,AR,tiktokglobal_int,0,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,,,,
2025-02-01,SAC,BO,organic,19,22,54.55%,45.45%,27.27%,31.82%,18.18%,31.82%,13.64%,9.09%,83.33%,70.00%,42.86%,66.67%
2025-02-01,SAC,CL,organic,8,13,23.08%,38.46%,38.46%,30.77%,15.38%,7.69%,0.00%,0.00%,166.67%,20.00%,0.00%,
2025-02-01,SAC,PE,organic,44,43,58.14%,41.86%,34.88%,27.91%,27.91%,18.60%,11.63%,9.30%,72.00%,44.44%,62.50%,80.00%
2025-02-01,SAC,PY,organic,9,8,37.50%,0.00%,37.50%,0.00%,12.50%,0.00%,0.00%,0.00%,0.00%,,,
2025-02-01,SAC,UY,organic,4,3,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
2025-02-01,SG,AU,googleadwords_int,0,2,100.00%,50.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,50.00%,100.00%,0.00%,
2025-02-01,SG,AU,organic,2,2,50.00%,50.00%,50.00%,0.00%,50.00%,50.00%,0.00%,0.00%,100.00%,100.00%,0.00%,
2025-02-01,SG,AZ,organic,2,3,0.00%,33.33%,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,
2025-02-01,SG,BD,organic,4,4,25.00%,25.00%,25.00%,25.00%,25.00%,0.00%,0.00%,0.00%,100.00%,0.00%,,
2025-02-01,SG,BN,googleadwords_int,1,0,,,,,,,,,,,,
2025-02-01,SG,BN,organic,1,4,50.00%,25.00%,0.00%,25.00%,25.00%,0.00%,0.00%,0.00%,50.00%,0.00%,,
2025-02-01,SG,BY,organic,4,3,66.67%,33.33%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,50.00%,0.00%,,
2025-02-01,SG,CK,organic,0,1,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,,
2025-02-01,SG,CN,googleadwords_int,14,0,,,,,,,,,,,,
2025-02-01,SG,CN,organic,17,13,38.46%,30.77%,15.38%,15.38%,15.38%,23.08%,0.00%,0.00%,80.00%,75.00%,0.00%,
2025-02-01,SG,CU,organic,0,19,47.37%,47.37%,36.84%,36.84%,26.32%,42.11%,15.79%,5.26%,100.00%,88.89%,37.50%,33.33%
2025-02-01,SG,GE,organic,1,1,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
2025-02-01,SG,GP,organic,0,1,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,,0.00%,,
2025-02-01,SG,GQ,organic,0,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
2025-02-01,SG,HK,organic,7,6,33.33%,16.67%,16.67%,16.67%,0.00%,16.67%,0.00%,0.00%,50.00%,100.00%,0.00%,
2025-02-01,SG,IN,organic,13,13,61.54%,46.15%,46.15%,38.46%,15.38%,30.77%,15.38%,7.69%,75.00%,66.67%,50.00%,50.00%
2025-02-01,SG,JP,facebook ads,0,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
2025-02-01,SG,JP,organic,78,63,47.62%,23.81%,20.63%,19.05%,15.87%,15.87%,7.94%,1.59%,50.00%,66.67%,50.00%,20.00%
2025-02-01,SG,JP,tiktokglobal_int,0,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
2025-02-01,SG,KH,organic,4,5,100.00%,60.00%,60.00%,40.00%,0.00%,20.00%,0.00%,0.00%,60.00%,33.33%,0.00%,
2025-02-01,SG,KR,organic,6,7,42.86%,28.57%,42.86%,42.86%,28.57%,42.86%,28.57%,14.29%,66.67%,150.00%,66.67%,50.00%
2025-02-01,SG,KZ,organic,5,6,16.67%,16.67%,33.33%,16.67%,16.67%,16.67%,16.67%,0.00%,100.00%,100.00%,100.00%,0.00%
2025-02-01,SG,LA,googleadwords_int,1,1,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
2025-02-01,SG,LA,organic,7,3,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,33.33%,0.00%,,,,0.00%
2025-02-01,SG,MD,organic,1,0,,,,,,,,,,,,
2025-02-01,SG,MM,googleadwords_int,0,1,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,,
